Team,Player Name,Player Type,Bowling_T20_M,Bowling_T20_Inn,Bowling_T20_B,Bowling_T20_Runs,Bowling_T20_Wkts,Bowling_T20_Avg,Bowling_T20_Econ,Bowling_T20_SR,Bowling_T20_BBI,Bowling_T20_BBM,Bowling_T20_5w,Bowling_T20_10w,Bowling_IPL_M,Bowling_IPL_Inn,Bowling_IPL_B,Bowling_IPL_Runs,Bowling_IPL_Wkts,Bowling_IPL_Avg,Bowling_IPL_Econ,Bowling_IPL_SR,Bowling_IPL_BBI,Bowling_IPL_BBM,Bowling_IPL_5w,Bowling_IPL_10w
RCB,Jitesh Sharma,WK,9,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,45,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Lungi Ngidi,BOWL,43,43,857,1320,63,20.95,9.24,13.6,5/39,5/39,1,0,14,14,324,448,25,17.92,8.3,12.96,4/10,4/10,0,0
RCB,Philip Salt,WK,43,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,26,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Liam Livingstone,ALL,60,41,576,838,33,25.39,8.73,17.45,3/17,3/17,0,0,44,26,306,461,13,35.46,9.04,23.54,3/27,3/27,0,0
RCB,Josh Hazlewood,BOWL,52,52,1186,1481,67,22.1,7.49,17.7,4/12,4/12,0,0,32,32,716,973,43,22.63,8.15,16.65,4/25,4/25,0,0
RCB,Bhuvneshwar Kumar,BOWL,87,86,1791,2079,90,23.1,6.96,19.9,5/4,5/4,2,0,180,180,4000,5046,186,27.13,7.57,21.51,5/19,5/19,2,0
RCB,Swapnil Singh,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,14,14,162,241,7,34.43,8.93,23.14,2/28,2/28,0,0
RCB,Virat Kohli,BAT,125,13,152,204,4,51.0,8.05,38.0,1/13,1/13,0,0,257,26,251,368,4,92.0,8.8,62.75,2/25,2/25,0,0
RR,Vaibhav Suryavanshi,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RR,Ashok Sharma,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RR,Kwena Maphaka,BOWL,5,5,101,168,3,56.0,9.98,33.67,2/39,2/39,0,0,2,2,36,89,1,89.0,14.83,36.0,1/23,1/23,0,0
RR,Kunal Singh Rathore,WK,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RR,Akash Madhwal,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,13,13,262,424,19,22.32,9.71,13.79,5/5,5/5,1,0
RR,Shubham Dubey,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,7,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RR,Yudhvir Singh Charak,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,6,6,84,142,4,35.5,10.14,21.0,2/19,2/19,0,0
RR,Maheesh Theekshana,BOWL,60,60,1344,1541,58,26.57,6.88,23.17,3/17,3/17,0,0,32,32,744,991,31,31.97,7.99,24.0,4/33,4/33,0,0
RR,Dhruv Jurel,WK,4,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,32,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RR,Kumar Kartikeya,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,14,14,252,360,11,32.73,8.57,22.91,2/22,2/22,0,0
RR,Yashasvi Jaiswal,BAT,23,1,6,11,0,0.0,11.0,0.0,0/11,0/11,0,0,57,1,1,6,0,0.0,0.0,0.0,0/6,0/6,0,0
RR,FazalHaq Farooqi,BOWL,43,43,922,1031,54,19.09,6.71,17.07,5/9,5/9,1,0,9,9,194,314,6,52.33,9.71,32.33,2/32,2/32,0,0
RR,Riyan Parag,ALL,9,5,74,83,4,20.75,6.73,18.5,3/5,3/5,0,0,74,22,199,332,4,83.0,10.01,49.75,1/7,1/7,0,0
RR,Tushar Deshpande,BOWL,2,2,36,56,2,28.0,9.33,18.0,1/26,1/26,0,0,40,40,851,1392,47,29.62,9.81,18.11,4/27,4/27,0,0
RR,Jofra Archer,BOWL,34,34,754,1002,41,24.44,7.97,18.39,4/33,4/33,0,0,45,45,1050,1348,53,25.43,7.7,19.81,3/15,3/15,0,0
RR,Wanindu Hasaranga,ALL,79,77,1734,2019,131,15.41,6.99,13.24,4/9,4/9,0,0,29,29,618,853,41,20.8,8.28,15.07,5/18,5/18,1,0
RR,Nitish Rana,ALL,2,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,112,26,192,270,10,27.0,8.44,19.2,2/11,2/11,0,0
RR,Shimron Hetmyer,BAT,62,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,77,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RR,Sandeep Sharma,BOWL,2,2,42,73,1,73.0,10.43,42.0,1/39,1/39,0,0,131,131,2930,3875,142,27.29,7.94,20.63,5/18,5/18,1,0
RR,Sanju Samson,WK,42,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,172,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
SRH,Aniket Verma,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,5,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
SRH,Eshan Malinga,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
SRH,K Nitish Reddy,ALL,4,3,54,71,3,23.67,7.89,18.0,2/23,2/23,0,0,20,9,109,207,3,69.0,11.39,36.33,2/17,2/17,0,0
